        ,	2,	3,	4,	5,	6,	7,	8,	9,	10,	11,	12,	13,	14,	15
VQE,	-1.35303939,	-1.38013169,	-0.53644195,	-0.48327002,	0.09586307,	0.87645262,	1.28541217,	2.71458783,	3.12354738,	3.90413693,	4.48327002,	4.53644195,	5.38013169,	5.35303939
Simulated,	-1.43136,	-1.224184,	-0.794232,	-0.329512,	0.15008,	0.762096,	1.26816,	2.731832,	3.237912,	3.84992,	4.329544,	4.794208,	5.224216,	5.431312
Ground state,	-1.630448,	-1.233368,	-0.891224,	-0.333352,	0.037696,	0.679472,	1.014808,	2.985184,	3.320536,	3.962304,	4.333384,	4.8912,	5.2334,	5.6304
Slater determinant,	-1.27786248,	-1.09895686,	-0.44442627,	-0.11723349,	0.56808309,	0.96167917,	1.77056111,	2.22943889,	3.03832083,	3.43191691,	4.11723349,	4.44442627,	5.09895686,	5.27786248
VQE error,	0.01349857,	0.01995828,	0.03281305,	0.03687345,	0.03506614,	0.0394711,	0.04351506,	0.04351506,	0.0394711,	0.03506614,	0.03081709,	0.02582128,	0.01995828,	0.01349857
