        ,	1,	2,	3,	4,	5,	6,	7,	8,	9,	10,	11,	12,	13,	14,	15
VQE,	-1.8711407,	-3.0225542,	-4.29750901,	-4.43038586,	-4.60152994,	-4.10183797,	-2.26956097,	0.28362494,	5.73043903,	11.89816203,	19.39847006,	27.56961414,	35.70249099,	44.9774458,	54.1288593
Simulated,	-1.879392,	-3.121696,	-4.210648,	-4.680912,	-4.656448,	-3.881784,	-2.383088,	0.046664,	5.616912,	12.118224,	19.343528,	27.319056,	35.789384,	44.878272,	54.1206
Ground state,	-1.879392,	-3.465768,	-4.602632,	-5.277968,	-5.340584,	-4.9066,	-3.843728,	-2.420832,	4.156272,	11.0934,	18.6594,	26.722,	35.3974,	44.5342,	54.1206
Slater determinant,	-1.87938524,	-2.6118964,	-3.40905628,	-2.65760304,	-2.18494534,	0.27061977,	2.05823287,	6.48245903,	10.05823287,	16.27061977,	21.81505466,	29.34239696,	36.59094372,	45.3881036,	54.12061476
VQE error,	0.00644213,	0.02053017,	0.02698806,	0.05183189,	0.04242034,	0.0589344,	0.0576008,	0.06573229,	0.0576008,	0.0589344,	0.04242034,	0.03665068,	0.02698806,	0.02053017,	0.00644213
