        ,	6,	7,	8,	9,	10
VQE,	-4.10183797,	-2.26956097,	0.28362494,	5.73043903,	11.89816203
Exact,	-3.881784,	-2.383088,	0.046664,	5.616912,	12.118224
Exact in ground state,	-4.9066,	-3.843728,	-2.420832,	4.156272,	11.0934
Slater determinant,	0.27061977,	2.05823287,	6.48245903,	10.05823287,	16.27061977
VQE error,	0.0589344,	0.0576008,	0.06573229,	0.0576008,	0.0589344
