        ,	6,	7,	8,	9,	10
VQE,	-5.53324224,	-4.65678961,	-3.37137744,	-0.65678961,	2.46675776
Exact,	-5.5086,	-4.746504,	-3.478344,	-0.746512,	2.4914
Exact in ground state,	-5.930088,	-5.250616,	-4.235808,	-1.250624,	2.069912
Slater determinant,	-4.24978125,	-3.28810208,	-1.51754097,	0.71189792,	3.75021875
VQE error,	0.02626593,	0.029463,	0.0320233,	0.029463,	0.02626593
