        ,	1,	2,	3,	4,	5,	6,	7,	8,	9,	10,	11,	12,	13,	14,	15
VQE,	-2.48755258,	-4.71031584,	-6.22976071,	-6.89136398,	-6.65093959,	-6.45236014,	-5.2312155,	-3.71720598,	-1.2312155,	1.54763986,	5.34906041,	9.10863602,	13.77023929,	19.28968416,	25.51244742
Simulated,	-2.61803,	-4.81069,	-6.14249,	-7.06926,	-6.86019,	-6.33631,	-5.23846,	-3.82678,	-1.23846,	1.66369,	5.13981,	8.93074,	13.8575,	19.1893,	25.382
Ground state,	-2.61803,	-4.896982,	-6.244392,	-7.27439,	-7.1682,	-6.84138,	-5.97247,	-5.01243,	-1.97247,	1.15862,	4.8318,	8.72561,	13.7556,	19.103,	25.382
Slater determinant,	-2.618034,	-4.663638,	-5.873714,	-6.472136,	-6.10142,	-5.160324,	-4.10142,	-2.472136,	-0.10142,	2.839676,	5.89858,	9.527864,	14.126286,	19.336362,	25.381966
VQE error,	0.01715115,	0.02854051,	0.03572651,	0.05056631,	0.04705099,	0.06074838,	0.05552341,	0.05453367,	0.05552341,	0.06074838,	0.04705099,	0.03575578,	0.03572651,	0.02854051,	0.01715115
