        ,	2,	3,	4,	5,	6,	7,	8,	9,	10,	11,	12,	13,	14,	15
VQE,	-1.1514135,	-1.27495481,	-0.13287685,	-0.17114408,	0.49969197,	1.832277,	2.5531859,	5.4468141,	6.167723,	7.50030803,	8.17114408,	8.13287685,	9.27495481,	9.1514135
Simulated,	-1.242304,	-1.088952,	-0.470264,	0.024464,	0.774664,	1.498696,	2.429752,	5.570248,	6.501312,	7.225304,	7.975528,	8.470328,	9.088888,	9.242328
Ground state,	-1.586376,	-1.136864,	-0.675336,	-0.062616,	0.433984,	1.062872,	1.422896,	6.577104,	6.937128,	7.566,	8.0626,	8.6754,	9.1368,	9.5864
Slater determinant,	-0.73251116,	-0.79715988,	0.75145324,	0.4726577,	2.45556511,	1.7876131,	4.42422617,	3.57577383,	6.2123869,	5.54443489,	7.5273423,	7.24854676,	8.79715988,	8.73251116
VQE error,	0.02151718,	0.03390934,	0.05843715,	0.06697784,	0.0726137,	0.08240823,	0.08739901,	0.08739901,	0.08240823,	0.0726137,	0.05606031,	0.04551514,	0.03390934,	0.02151718
