        ,	3,	4,	5
VQE,	-2.59814133,	-1.9067747,	1.40185867
Exact,	-2.542556,	-1.89646,	1.457444
Exact (depth 1),	-2.467952,	-1.686516,	1.532048
Exact in ground state,	-2.623132,	-1.953148,	1.376872
Slater determinant,	-1.931495,	-0.472136,	2.068505
VQE error,	0.00925438,	0.01237206,	0.00925438
