        ,	1,	2,	3,	4,	5,	6,	7,	8,	9,	10,	11,	12,	13,	14,	15
VQE,	-1.87622226,	-3.22926165,	-4.60939334,	-5.14583529,	-5.62910531,	-5.53324224,	-4.65678961,	-3.37137744,	-0.65678961,	2.46675776,	6.37089469,	10.85416471,	15.39060666,	20.77073835,	26.12377774
Simulated,	-1.879392,	-3.310752,	-4.534936,	-5.329168,	-5.65868,	-5.5086,	-4.746504,	-3.478344,	-0.746512,	2.4914,	6.34132,	10.670864,	15.465072,	20.689288,	26.1206
Ground state,	-1.879392,	-3.50984,	-4.743208,	-5.634432,	-5.967784,	-5.930088,	-5.250616,	-4.235808,	-1.250624,	2.069912,	6.032216,	10.3656,	15.2568,	20.4902,	26.1206
Slater determinant,	-1.87938524,	-3.15724772,	-4.25620458,	-4.70063086,	-4.81786434,	-4.24978125,	-3.28810208,	-1.51754097,	0.71189792,	3.75021875,	7.18213566,	11.29936914,	15.74379542,	20.84275228,	26.12061476
VQE error,	0.0063764,	0.0118976,	0.01602436,	0.02863418,	0.0232322,	0.02626593,	0.029463,	0.0320233,	0.029463,	0.02626593,	0.0232322,	0.02024742,	0.01602436,	0.0118976,	0.0063764
