        ,	1,	2,	3,	4,	5,	6,	7
VQE,	-1.6113711,	-2.55001495,	-2.59814133,	-1.9067747,	1.40185867,	5.44998505,	10.3886289
Simulated,	-1.618032,	-2.526432,	-2.542556,	-1.89646,	1.457444,	5.473568,	10.382
Ground state,	-1.618032,	-2.62494,	-2.623132,	-1.953148,	1.376872,	5.37506,	10.382
Slater determinant,	-1.618034,	-2.124024,	-1.931495,	-0.472136,	2.068505,	5.875976,	10.381966
Simulated (depth 1),	-1.618028,	-2.475572,	-2.467952,	-1.686516,	1.532048,	5.524428,	10.382
VQE error,	0.00316591,	0.01169225,	0.00925438,	0.01237206,	0.00925438,	0.00826767,	0.00316591
