0.58981471,	-0.36189679,	0.00926401,	-0.12401184,	0.00353945,	-0.10803216,	0.00264981,	-0.049117
-0.36189679,	0.58981471,	-0.12401184,	0.00926401,	-0.10803216,	0.00353945,	-0.049117,	0.00264981
0.0085536,	-0.12042069,	0.58090857,	-0.07221145,	-0.00070889,	-0.34870223,	-0.00018407,	-0.11097015
-0.12042069,	0.0085536,	-0.07221145,	0.58090857,	-0.34870223,	-0.00070889,	-0.11097015,	-0.00018407
-0.00018407,	-0.11097015,	-0.00070889,	-0.34870223,	0.58090857,	-0.07221145,	0.0085536,	-0.12042069
-0.11097015,	-0.00018407,	-0.34870223,	-0.00070889,	-0.07221145,	0.58090857,	-0.12042069,	0.0085536
0.00264981,	-0.049117,	0.00353945,	-0.10803216,	0.00926401,	-0.12401184,	0.58981471,	-0.36189679
-0.049117,	0.00264981,	-0.10803216,	0.00353945,	-0.12401184,	0.00926401,	-0.36189679,	0.58981471
