        ,	1,	2,	3,	4,	5,	6,	7,	8,	9,	10
1x8 (estimate),	2.57822766,	1.65882981,	1.36468024,	1.0730756,	0.76078459,	1.23298461,	1.5246512,	1.23071586,	1.16485326,	1.17741178
2x4 (estimate),	2.92442063,	0.23065597,	0.95011102,	0.72736098,	0.74487149,	1.12568012,	1.22350155,	1.14779261,	1.1543703,	0.9800842
1x8 (estimate) error,	0.539,	0.174,	0.158,	0.161,	0.114,	0.119,	0.121,	0.13,	0.125,	0.108
2x4 (estimate) error,	1.58,	0.156,	0.131,	0.167,	0.142,	0.114,	0.108,	0.1,	0.105,	0.093
