        ,	2,	4,	6,	8,	10,	12,	14
VQE,	0.96818036,	1.2495265,	1.73169564,	1.43165214,	1.73169564,	1.2495265,	0.96818036
Simulated,	0.79108,	1.325296,	1.561568,	2.114656,	1.561656,	1.32536,	0.79104
Ground state,	0.926872,	1.205704,	0.662528,	5.239088,	0.662528,	1.205704,	0.926872
Slater determinant,	0.698519,	0.753974,	-0.521056,	-0.161978,	-0.521056,	0.753974,	0.698519
VQE error,	0.07190136,	0.14651882,	0.17014347,	0.16652388,	0.17014347,	0.1203557,	0.07190136
