        ,	2,	3,	4,	5,	6,	7,	8,	9,	10,	11,	12,	13,	14,	15
VQE,	-2.07083047,	-1.10265011,	-0.5665122,	0.6830143,	0.8894427,	2.62113834,	3.28417393,	4.71582607,	5.37886166,	7.1105573,	7.3169857,	8.5665122,	9.10265011,	10.07083047
Simulated,	-1.9836,	-1.19252,	-0.611184,	0.714112,	1.069336,	2.630904,	2.942672,	5.057328,	5.369064,	6.93072,	7.28584,	8.6112,	9.19256,	9.9836
Ground state,	-2.156768,	-1.229896,	-0.816088,	0.389616,	0.68116,	1.343688,	1.380456,	6.619544,	6.656312,	7.31884,	7.610384,	8.816088,	9.229896,	10.156768
Slater determinant,	-1.50599,	-0.807471,	0.459359,	1.213333,	2.613367,	2.092311,	4.080989,	3.919011,	5.907689,	5.386633,	6.786667,	7.540641,	8.807471,	9.50599
VQE error,	0.04091599,	0.05912434,	0.0951256,	0.11144005,	0.11576097,	0.12469242,	0.11775017,	0.11775017,	0.12469242,	0.11576097,	0.09448677,	0.07455029,	0.05912434,	0.04091599
