        ,	1,	2,	3,	4,	5,	6,	7,	8,	9,	10,	11,	12,	13,	14,	15
VQE,	-2.59270811,	-4.66353859,	-5.7661887,	-6.3327009,	-5.64968659,	-4.7602439,	-2.13910555,	1.14506838,	5.86089445,	11.2397561,	18.35031341,	25.6672991,	34.2338113,	43.33646141,	53.40729189
Simulated,	-2.618032,	-4.601632,	-5.794152,	-6.405336,	-5.691224,	-4.621888,	-1.990984,	0.951688,	6.009016,	11.37808,	18.3088,	25.59464,	34.20584,	43.3984,	53.382
Ground state,	-2.618032,	-4.7748,	-6.004696,	-6.820784,	-6.431168,	-5.750008,	-4.40632,	-3.025864,	3.59368,	10.249992,	17.568832,	25.179216,	33.995304,	43.2252,	53.381968
Slater determinant,	-2.618034,	-4.124024,	-4.931495,	-4.472136,	-3.258803,	-0.645436,	1.446875,	5.527864,	9.446875,	15.354564,	20.741197,	27.527864,	35.068505,	43.875976,	53.381966
VQE error,	0.01565383,	0.03780312,	0.04546,	0.08355997,	0.07373341,	0.08924117,	0.08708739,	0.07925206,	0.08708739,	0.08924117,	0.07373341,	0.05908582,	0.04546,	0.03780312,	0.01565383
