        ,	6,	7,	8,	9,	10
VQE,	-4.7602439,	-2.13910555,	1.14506838,	5.86089445,	11.2397561
Exact,	-4.621888,	-1.990984,	0.951688,	6.009016,	11.37808
Exact in ground state,	-5.750008,	-4.40632,	-3.025864,	3.59368,	10.249992
Slater determinant,	-0.645436,	1.446875,	5.527864,	9.446875,	15.354564
VQE error,	0.08924117,	0.08708739,	0.07925206,	0.08708739,	0.08924117
