        ,	2,	3,	4,	5,	6,	7,	8,	9,	10,	11,	12,	13,	14,	15
VQE,	-2.22276327,	-1.51944486,	-0.66160328,	0.24042439,	0.19857945,	1.22114464,	1.51400952,	2.48599048,	2.77885536,	3.80142055,	3.75957561,	4.66160328,	5.51944486,	6.22276327
Simulated,	-2.19266,	-1.3318,	-0.92677,	0.20907,	0.52388,	1.09785,	1.41168,	2.58832,	2.90215,	3.47612,	3.79093,	4.92676,	5.3318,	6.1927
Ground state,	-2.278952,	-1.34741,	-1.029998,	0.10619,	0.32682,	0.86891,	0.96004,	3.03996,	3.13109,	3.67318,	3.89381,	5.02999,	5.3474,	6.279
Slater determinant,	-2.045604,	-1.210076,	-0.598422,	0.370716,	0.941096,	1.058904,	1.629284,	2.370716,	2.941096,	3.058904,	3.629284,	4.598422,	5.210076,	6.045604
VQE error,	0.03329749,	0.04572684,	0.06191394,	0.0690706,	0.07683854,	0.08229954,	0.07782526,	0.07782526,	0.08229954,	0.07683854,	0.05909545,	0.05054562,	0.04572684,	0.03329749
